seriesuid,coordX,coordY,coordZ,label
1.3.6.1.4.1.14519.5.2.1.6279.6001.619372068417051974713149104919,19.5,14.875,-124.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.619372068417051974713149104919,8.875,5.5,-119.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.619372068417051974713149104919,-36.125,-96.375,-93.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.619372068417051974713149104919,3.875,-15.125,-23.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.619372068417051974713149104919,-16.125,-45.125,-22.625,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.619372068417051974713149104919,156.375,-35.75,-22.625,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.619372068417051974713149104919,-51.75,-25.125,-22.625,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,31.2,-96.875,-351.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,6.2,40.0,-194.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,-4.425,35.0,-174.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,-9.425,35.0,-144.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,-14.425,-61.25,-118.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,-19.425,20.0,-107.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,-19.425,15.0,-87.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,96.825,5.0,-82.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,6.2,20.0,-77.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,-13.8,25.0,-77.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,-49.425,-20.625,-62.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,-60.05,-0.625,-52.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,142.45,-41.25,-47.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,-13.8,-10.0,-42.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,172.45,-56.25,-42.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,-34.425,-30.625,-42.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,41.825,-25.625,-42.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,96.825,20.0,-42.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,-90.05,25.0,-42.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228,50.2,-66.75,-307.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228,95.825,38.875,-307.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228,-176.675,99.5,-302.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228,45.2,8.875,-266.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228,-171.675,109.5,-241.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228,-177.3,104.5,-226.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228,-191.675,84.5,-200.625,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228,-9.8,54.5,-130.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228,-15.425,-87.375,-125.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228,-30.425,-82.375,-120.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228,-15.425,44.5,-119.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228,-15.425,18.875,-38.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,87.325,-26.25,-322.545,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,-24.55,-21.25,-322.545,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,11.7,-35.625,-317.545,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,46.7,-35.625,-317.545,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,92.325,-20.625,-317.545,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,87.325,9.375,-317.545,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,-8.925,-30.625,-312.545,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,82.325,-40.625,-307.545,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,77.325,-25.625,-307.545,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,31.7,-45.625,-302.545,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,56.7,-41.25,-302.545,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,87.325,0.0,-302.545,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,16.075,-30.625,-297.545,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,92.325,-36.25,-296.92,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,1.7,-35.625,-296.92,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,102.95,-20.625,-296.92,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,41.7,-15.625,-292.545,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,62.325,-46.25,-286.92,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,71.7,-21.25,-282.545,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,6.075,-41.25,-281.92,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,-105.175,-56.25,-276.92,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,21.7,-51.25,-276.92,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,47.325,-41.25,-276.92,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,46.7,-20.625,-276.92,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,77.325,-56.25,-271.92,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,51.7,-56.25,-266.92,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,-110.175,-56.25,-261.92,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,-18.925,-56.25,-261.92,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,107.95,-31.25,-251.92,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,87.325,-45.625,-241.295,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,67.325,-56.25,-236.295,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,11.7,-36.25,-236.295,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,97.95,-20.625,-236.295,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,51.7,-56.25,-226.295,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,67.325,-36.25,-226.295,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,51.7,-36.25,-221.295,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,31.7,-36.25,-216.295,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,-135.8,-46.25,-206.295,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,-145.8,-31.25,-200.67,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,16.7,40.0,-119.42,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,6.075,35.0,-104.42,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,-3.925,30.0,-88.795,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,-3.925,30.0,-79.42,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,1.075,24.375,-43.795,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,-3.3,15.0,-23.17,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,-109.275,-76.95,-314.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,68.225,-26.325,-299.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,98.85,-26.325,-294.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,108.85,-56.95,-237.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,98.85,-71.95,-227.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,12.6,-26.325,-217.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,113.85,3.675,-182.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,93.225,-21.325,-182.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,43.225,14.3,-182.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,68.225,14.3,-182.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,73.225,-5.7,-177.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,98.225,39.925,-177.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,53.225,49.925,-172.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,33.225,9.3,-162.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,78.85,29.3,-156.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,68.225,24.3,-152.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,88.225,-36.95,-151.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,63.225,-6.325,-151.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,47.6,39.3,-151.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,38.225,69.925,-147.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,47.6,39.925,-142.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,53.225,-11.325,-141.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,63.225,74.925,-137.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,63.225,-46.325,-136.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,98.85,39.925,-136.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,48.225,74.925,-136.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,73.225,-61.325,-131.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,63.225,-56.95,-131.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,63.225,-36.95,-126.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,53.225,-26.325,-126.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,37.6,44.3,-126.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,47.6,54.925,-126.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,38.225,64.925,-126.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,68.225,64.925,-126.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,63.225,-56.325,-121.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,53.225,-36.95,-121.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,33.225,24.925,-121.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,93.85,44.925,-121.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,58.225,-6.325,-120.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,93.85,-0.7,-116.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,47.6,74.925,-116.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,53.225,-51.95,-112.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,98.85,9.3,-111.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,37.6,14.3,-111.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,63.225,-56.95,-106.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,53.225,-51.325,-106.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,58.225,-41.95,-106.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,103.85,-21.325,-101.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,37.6,19.3,-101.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,22.6,60.55,-101.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,43.225,-41.325,-100.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,98.85,-31.325,-100.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,103.85,-11.325,-96.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,68.85,19.925,-95.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,37.6,-46.325,-91.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,43.225,-21.325,-90.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,88.85,29.925,-90.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,27.6,65.55,-85.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,43.225,-41.95,-80.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,88.225,-36.325,-80.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,93.225,-26.325,-80.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,37.6,29.3,-80.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,68.225,49.925,-75.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,93.225,-16.325,-70.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,38.225,-11.325,-70.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,58.225,4.3,-65.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,57.6,54.925,-60.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,37.6,8.675,-60.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,83.225,29.925,-60.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,22.6,29.925,-55.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,22.6,-46.95,-55.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,-43.65,-36.325,-55.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,58.225,14.3,-50.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,22.6,19.3,-50.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,-69.275,-10.7,-45.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,68.225,-16.325,-45.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,58.225,44.925,-45.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,43.225,49.925,-45.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,-12.4,-107.575,-40.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,27.6,19.3,-40.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,73.225,24.925,-40.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,37.6,-11.325,-35.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,-33.025,-107.575,-30.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,17.6,19.3,-30.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,57.6,19.3,-25.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,47.6,29.3,-25.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,28.225,24.3,-20.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,-53.65,-102.575,-15.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,-28.025,-133.2,-14.625,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-167.5,23.7,-342.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,101.25,-67.55,-337.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-121.875,-62.55,-337.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,121.25,43.7,-337.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-167.5,53.7,-337.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-167.5,63.7,-337.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-157.5,78.7,-337.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-146.875,94.325,-337.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,146.25,-41.925,-332.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,161.875,-6.925,-332.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-167.5,23.7,-327.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,151.25,-31.925,-326.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-151.875,-21.925,-326.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-162.5,3.075,-322.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-171.875,33.7,-322.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-167.5,58.7,-317.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-162.5,68.7,-316.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-146.875,-36.925,-311.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-167.5,23.7,-307.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-157.5,78.7,-307.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,146.25,-47.55,-306.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-141.875,-46.925,-306.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-152.5,-26.925,-306.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-157.5,-16.925,-306.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-162.5,69.325,-306.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-146.875,-37.55,-301.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-162.5,-6.925,-301.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-162.5,-6.925,-291.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-167.5,33.7,-291.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-167.5,48.7,-291.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-162.5,68.7,-291.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-146.875,94.325,-291.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,151.25,-41.925,-286.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,156.25,-26.925,-286.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-157.5,-22.55,-286.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-167.5,3.075,-286.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,161.875,-6.925,-275.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-167.5,48.7,-275.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-162.5,64.325,-275.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,151.25,-41.925,-271.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,156.875,-26.925,-271.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-167.5,18.075,-271.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-157.5,-26.925,-266.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,151.25,-41.925,-261.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-162.5,64.325,-261.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,156.25,-26.925,-260.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,161.875,-1.925,-260.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-167.5,53.7,-256.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-136.875,-57.55,-255.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-157.5,78.7,-255.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-167.5,18.7,-246.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,151.25,-37.55,-245.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-152.5,-32.55,-235.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-157.5,-21.925,-235.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-162.5,-6.925,-235.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-167.5,53.7,-235.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,176.875,-31.925,-230.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,151.875,-37.55,-225.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,156.25,-26.925,-225.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,151.875,-77.55,-220.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,151.875,-62.55,-220.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-126.875,-57.55,-220.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-167.5,-1.925,-220.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-172.5,43.7,-220.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,-152.5,89.325,-220.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,166.875,-57.55,-215.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,151.25,-42.55,-205.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,166.875,-47.55,-200.125,0
